Site,Zone,Transect,Photocount,PhotoID,GPS,GPS,Point,Abiotic (m/s/rb/b/rk/mm),Living cover(sg/ns/sc/ca/cc/ma/ta/ua/ev/nm),Genus,Species,Morphology,Notes,Species to count,count,n-1,n(n-1),Diversity
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,1,rb,ma,Gracilaria,salicornia,b,,Gracilaria salicornia,25,24,600,0
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,2,rb,ma,Gracilaria,salicornia,b,,Articulated Coralline Algae,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,3,rb,ma,Gracilaria,salicornia,b,,Acanthophora spicifera,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,4,rb,ma,Gracilaria,salicornia,b,,Actinotrichia sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,5,rb,ma,Gracilaria,salicornia,b,,Crustose coralline algae,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,6,rb,ma,Gracilaria,salicornia,b,,Cyanobacteria sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,7,rb,ma,Gracilaria,salicornia,b,,Euptiloclaida sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,8,rb,ma,Gracilaria,salicornia,b,,Halimeda sp. ,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,9,rb,ma,Gracilaria,salicornia,b,,Hydrolithon sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,10,rb,ma,Gracilaria,salicornia,b,,Hypnea sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,11,rb,ma,Gracilaria,salicornia,b,,Lyngbya sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,12,m,no,Gracilaria,salicornia,b,,Montipora sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,13,rb,ma,Gracilaria,salicornia,b,,Neritina sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,14,rb,ma,Gracilaria,salicornia,b,,Peyssonnelia sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,15,rb,ma,Gracilaria,salicornia,b,,Porites sp. ,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,16,rb,ma,Gracilaria,salicornia,b,,Pterocladiella sp.,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,17,rb,ma,Gracilaria,salicornia,b,,Spyridia filamentosa,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,18,rb,ma,Gracilaria,salicornia,b,,Zoanthid sp. ,0,-1,0,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,19,rb,ma,Gracilaria,salicornia,b,,SUM,25,,600,
Wailupe,A,1,1,DSCF1147,21.27578,-157.76205,20,rb,ma,Gracilaria,salicornia,b,,,,,,
Wailupe,A,1,2,DSCF1149,,,1,rb,no,,,,,,,,,
Wailupe,A,1,2,DSCF1149,,,2,rb,no,,,,,N(N-1),600,,,
